Plot_ID,Region,Crop_Type,Soil_Type,Fertilizer_Used,Irrigation_Water_Liters,Pesticide_Use_Kg,Crop_Yield_MT,Seasonal_Temp_C,Rainfall_mm,Humidity_Pct,Pest_Infestation_Level,Farm_Size_Acres
PLOT_1000,West,Cotton,Clay,Yes,73664.87580473763,51.311429632439285,1145.64,41.24995274633294,2018.693266631095,89.70911417236681,Low,439.00968967455543
PLOT_1001,Central,Cotton,Silty,Yes,57617.745547031416,76.11517573058954,2795.37,30.659282465869172,1458.2804091949197,61.34783964829103,Low,782.6636734987761
PLOT_1002,East,Cotton,Clay,Yes,55055.22453936981,115.21362120482308,554.92,39.9054041828965,1437.156942455754,37.39687839716566,Low,160.66100398148427
PLOT_1003,Central,Cotton,Loamy,Yes,33969.927122650486,122.73819840755252,1644.69,19.70833739613226,2236.0184474340513,56.73760940001229,Low,1068.0610101144973
PLOT_1004,Central,Maize,Silty,Yes,4097.616340036908,97.44540601390851,3499.38,35.020509215900475,1163.1585029011694,84.5834186960333,Low,611.1544816741061
PLOT_1005,South,Maize,Loamy,Yes,13132.103663907268,15.827470106836753,1433.43,34.50747660431175,2284.5380183262027,77.08994608790996,High,547.4794443169759
PLOT_1006,East,Wheat,Loamy,No,44626.145401458976,88.64426944185635,1857.83,32.13298085972933,1265.310802141378,62.560619335637384,Low,709.2497743174202
PLOT_1007,East,Soybeans,Clay,Yes,55309.871324175896,56.287965234082755,1475.61,40.900447208537614,1088.5244877762636,38.306092109529864,Medium,755.3688774054419
PLOT_1008,East,Cotton,Silty,Yes,35726.06957613115,63.837624936382696,228.71,22.593770755402097,1371.4773001993226,60.613683669398156,Low,100.05433037841794
PLOT_1009,Central,Wheat,Loamy,Yes,59531.60487615765,11.14354879314713,3380.31,14.182954354872233,2065.5056570184543,63.14149638307301,Low,823.9014071497319
PLOT_1010,West,Soybeans,Loamy,Yes,43661.53444524558,28.882767418294772,758.45,31.494683495809944,633.504562693987,90.71333197364817,High,301.6890411739026
PLOT_1011,East,Rice,Silty,Yes,9637.390865167728,103.81420094170596,4550.81,33.337913615270594,791.943235712039,73.46516621492957,Low,861.0338695203089
PLOT_1012,Central,Maize,Clay,Yes,18593.235073564112,61.744854130982475,2145.03,28.40193835068207,2490.750857741957,53.69917499927894,High,989.7037313452731
PLOT_1013,South,Soybeans,Clay,No,67839.86496653967,42.707780203893606,1811.81,16.61817258026868,744.8561616080541,66.51909586704329,Medium,967.6908314497366
PLOT_1014,West,Rice,Clay,Yes,59093.3687434574,53.00238424561977,3153.44,26.14259013341937,1627.3864653448727,38.96331846932961,High,669.7136463783486
PLOT_1015,South,Soybeans,Loamy,Yes,72001.91101294963,111.79993916571003,3432.9,19.99007157021214,1653.4575499893601,93.35409413898421,Low,631.4013223882401
PLOT_1016,West,Maize,Sandy,Yes,12934.35093319118,98.62487717561962,1238.51,23.67892890133405,1451.6550396130508,56.60359411584356,Low,184.30801418720287
PLOT_1017,Central,Maize,Silty,Yes,79256.91263074562,39.03942464763535,6411.69,30.646994427029245,1800.6768092978418,63.672041294788144,Medium,933.7851882277157
PLOT_1018,North,Wheat,Loamy,Yes,19914.910260194953,19.687730026546664,595.75,33.8468717661067,867.1101330446414,56.31703845421536,Medium,336.6201158293565
PLOT_1019,West,Cotton,Clay,Yes,4895.270597784793,36.49977770550896,599.16,17.43119010884298,1593.4901024976834,75.950703806972,Medium,603.5840760392666
PLOT_1020,South,Soybeans,Loamy,Yes,79804.14336807012,120.09455638184171,2149.6,22.970411540702507,1187.3898243055187,74.73392949977558,Low,351.8648001191073
PLOT_1021,Central,Soybeans,Loamy,No,25361.6152938286,77.69860473121942,483.36,18.613170271732134,1838.7513341656754,77.91933863174813,Low,173.58661015463636
PLOT_1022,West,Rice,Sandy,Yes,54769.47839095455,71.68502609309786,1010.12,16.35621164357981,667.7529725895863,51.08859377671525,Medium,761.0258708167079
PLOT_1023,North,Maize,Clay,Yes,17427.855877399197,79.54919996155769,404.19,35.068391039866825,1634.4741878888215,53.94010886984396,Medium,79.38346126514104
PLOT_1024,North,Soybeans,Loamy,Yes,48097.36844713477,50.75353321831441,2140.52,39.096086221983754,766.8582996124783,42.51507386577248,Low,902.1446024395469
PLOT_1025,East,Maize,Clay,Yes,72706.6589705465,105.8883775399391,3076.62,21.847429941906455,976.9468920088319,74.33059831076676,Low,391.3403523844232
PLOT_1026,East,Soybeans,Loamy,Yes,28333.768724561334,70.41078116253122,50.43,34.04092557996054,842.0970507280622,37.38782764013915,Medium,15.159611210315104
PLOT_1027,South,Wheat,Clay,Yes,54939.3021793713,19.593487846099443,365.14,38.703849259661155,761.3850047048385,70.86094013140755,High,620.6880299961173
PLOT_1028,West,Cotton,Silty,Yes,18280.672748679655,21.13314060363287,111.47,37.07597473696741,2207.849641011501,87.18175309109803,Medium,70.5195116052097
PLOT_1029,West,Soybeans,Sandy,No,51484.45030262312,72.1073933128273,672.69,15.850028433255229,992.8420272370032,88.44992889737802,Low,342.2609260177659
PLOT_1030,East,Maize,Clay,Yes,29570.226738130772,122.07127725885489,1334.07,40.60134020842756,2436.028509195011,61.9422656221977,Medium,852.7671376350237
PLOT_1031,West,Wheat,Clay,Yes,20051.827652684326,43.544015209524844,100.99,22.0536460937428,2532.3346820266793,62.558221292784424,High,89.28720162191105
PLOT_1032,West,Soybeans,Clay,No,27801.83585347627,113.69264610740228,3126.5,20.855701157562763,1635.336057358469,39.61815098048104,Low,1009.6161134418628
PLOT_1033,North,Rice,Sandy,Yes,17591.92120659275,100.51194832235991,15.47,11.99780247288897,671.7525259978844,75.24590152658214,Low,19.526608350420982
PLOT_1034,East,Cotton,Clay,Yes,72545.62419567909,35.97655536336336,920.74,25.557556931356256,1192.7335476040578,84.27556522237073,Medium,307.48628500425417
PLOT_1035,Central,Soybeans,Clay,Yes,34186.20336010179,9.542593539530307,1604.37,13.488435700509719,2144.8975925334817,49.67930327628278,Low,892.9713065402046
PLOT_1036,East,Wheat,Loamy,Yes,22641.22717805192,17.730908142797844,1789.46,17.95327426967763,1176.6291395684084,60.278052898001874,Medium,389.7801274292285
PLOT_1037,Central,Rice,Sandy,Yes,38078.9959172109,96.06174173093002,323.0,20.142163896553004,545.7887411812746,85.33036020591622,Low,135.74247985822603
PLOT_1038,North,Wheat,Silty,No,28360.74867729366,29.95871725508084,266.58,35.882442351733886,1602.766049588423,87.62722805973729,High,441.87719377850703
PLOT_1039,South,Wheat,Clay,Yes,60575.863289812776,51.408865063174225,206.58,38.01563681266869,2251.5219158660784,49.59079881585356,Medium,335.41604436566274
PLOT_1040,West,Rice,Loamy,Yes,77812.71330329757,67.7123957508031,3399.74,19.67892215876703,2140.8343710728805,68.03423807248186,Medium,1013.6136040602576
PLOT_1041,North,Wheat,Silty,Yes,37290.55790902116,95.68352105627035,328.8,37.478339879826365,744.0270652932948,46.54958903814962,Low,386.3172823383946
PLOT_1042,West,Rice,Loamy,Yes,69438.53839789027,19.153902907390673,6524.74,37.431389995833314,1863.72038242805,41.112725848373394,Medium,949.8849790545686
PLOT_1043,South,Soybeans,Silty,Yes,47005.59359053108,55.79580065968268,3338.26,34.46883041231595,846.134592730206,89.66723008351745,Medium,1071.8684916007207
PLOT_1044,South,Rice,Clay,Yes,15949.910547161744,65.63411364283692,509.88,14.69424364848581,840.9669527423875,84.23045025392655,Medium,529.0736421981875
PLOT_1045,North,Rice,Silty,No,56487.328398181955,72.60338299644246,2708.91,32.09033110082333,2316.661489936667,80.60209410819044,Medium,1093.2826254674546
PLOT_1046,South,Cotton,Clay,Yes,43021.02178156233,107.29508017440209,1238.42,40.2407700665782,911.7551436655178,37.92597912878843,Low,462.1218939463835
PLOT_1047,Central,Rice,Sandy,Yes,53446.09576715986,26.459774380402113,4182.72,31.841295320549026,942.3065296655252,85.62372756261544,High,1157.4329235407781
PLOT_1048,South,Rice,Clay,Yes,71616.24335544654,105.9789314783278,271.95,20.611739171450687,351.470129212924,61.28264455432303,Low,120.80808656280392
PLOT_1049,West,Soybeans,Clay,Yes,37473.027369859505,91.60980346208153,2402.25,26.0185381577866,2309.005326782415,55.543707397751575,Low,829.1178308063427
PLOT_1050,West,Cotton,Clay,Yes,72489.49936451903,74.48385177486992,1409.65,30.663201387233716,2133.338329720553,67.78858166152258,Medium,600.1696379414605
